,node,eigenvector_centrality,betweenness_centrality,degree_centrality
0,Clarence,0.06721205034472183,0.015409798534798555,0.07692307692307693
1,Richard,0.42508509380201226,0.5298028013653017,0.5076923076923077
2,Brakenbury,0.133008479819273,0.03926053113553113,0.12307692307692308
3,Hastings,0.29802655841290454,0.09463120213120214,0.26153846153846155
4,Anne,0.1577255220613516,0.03020604395604395,0.1076923076923077
5,1Gentleman,0.042630273235291595,0.0,0.015384615384615385
6,2Gentleman,0.015817724158540394,0.0,0.015384615384615385
7,Grey,0.13330215174318963,0.016235119047619047,0.07692307692307693
8,Rivers,0.2277284617447929,0.0026957417582417586,0.13846153846153847
9,QueenElizabeth,0.331023924411313,0.09208988927738929,0.27692307692307694
10,Buckingham,0.3207100746034498,0.10444617882117885,0.2923076923076923
11,Stanley,0.23313667970415577,0.12658508158508155,0.18461538461538463
12,QueenMargaret,0.2043072618388005,0.0008238636363636362,0.1076923076923077
13,Dorset,0.2376345825493781,0.003748543123543123,0.13846153846153847
14,Catesby,0.1491883333516818,0.0008653846153846153,0.07692307692307693
15,1Murderer,0.0653817366903586,0.006227106227106222,0.06153846153846154
16,Keeper,0.020079902343433056,0.0,0.03076923076923077
17,2Murderer,0.026637034094099756,0.0,0.046153846153846156
18,KingEdward,0.20792620097354703,0.0004945054945054946,0.1076923076923077
19,Boy,0.05886112255800946,0.0,0.046153846153846156
20,Duchess,0.19705119828606127,0.039220467032967034,0.16923076923076924
21,Daughter,0.05886112255800946,0.0,0.046153846153846156
22,1Citizen,2.4484629103079295e-09,0.0,0.03076923076923077
23,2Citizen,2.4484629103079295e-09,0.0,0.03076923076923077
24,3Citizen,2.4484629103079295e-09,0.0,0.03076923076923077
25,Archbishop,0.05886112255800946,0.0,0.046153846153846156
26,York,0.1405430537701087,0.0013293997668997672,0.07692307692307693
27,1Messenger,0.05886112255800946,0.0,0.046153846153846156
28,PrinceEdward,0.12755805920993296,0.0009375,0.07692307692307693
29,Mayor,0.08758482023179354,0.0,0.046153846153846156
30,Cardinal,0.062049904804473546,0.0,0.03076923076923077
31,2Messenger,0.02988752733460973,0.0,0.015384615384615385
32,Pursuivant,0.036476936434994195,0.0,0.03076923076923077
33,Priest,0.06570792211604665,0.0011939102564102564,0.046153846153846156
34,Vaughan,0.024679518269528227,0.00016025641025641026,0.03076923076923077
35,Ratcliffe,0.1127917982588087,0.012707188644688646,0.07692307692307693
36,Ely,0.12806051551074465,0.0,0.06153846153846154
37,Lovell,0.07251780056990081,0.0,0.03076923076923077
38,Citizens,0.03216237746986433,0.0,0.015384615384615385
39,Page,0.042630273235291595,0.0,0.015384615384615385
40,Tyrrel,0.07479265070515541,0.0,0.03076923076923077
41,3Messenger,0.02410674614545697,0.008453525641025642,0.03076923076923077
42,4Messenger,0.007243018305312829,0.0007211538461538462,0.03076923076923077
43,5Messenger,0.0481158880248601,0.02063301282051282,0.046153846153846156
44,6Messenger,0.04745569383858906,0.0,0.03076923076923077
45,Christopher,0.023380337470980547,0.0,0.015384615384615385
46,Sheriff,0.03216237746986433,0.0,0.015384615384615385
47,Oxford,0.00804648145887432,0.014423076923076924,0.03076923076923077
48,Richmond,0.07861889457404662,0.25472756410256414,0.1076923076923077
49,Herbert,0.0016140432962313362,0.0002403846153846154,0.03076923076923077
50,Blunt,0.00804648145887432,0.014423076923076924,0.03076923076923077
51,Surrey,0.042630273235291595,0.0,0.015384615384615385
52,Norfolk,0.042630273235291595,0.0,0.015384615384615385
53,GhostEdward,0.008595728661709894,0.16482371794871795,0.06153846153846154
54,GhostHenryVI,0.0008723468436689819,0.026923076923076925,0.03076923076923077
55,GhostClarence,0.00010087646356796325,0.0009615384615384616,0.03076923076923077
56,GhostRivers,0.00013170157141888426,0.002403846153846154,0.06153846153846154
57,GhostGrey,0.0001224699201820567,0.0,0.046153846153846156
58,GhostVaughan,0.0001224699201820567,0.0,0.046153846153846156
59,GhostHastings,0.000962923681483862,0.08541666666666667,0.07692307692307693
60,GhostsYork,0.0006236107053716748,0.0019230769230769232,0.03076923076923077
61,GhostAnne,0.005252902797856634,0.028044871794871796,0.046153846153846156
62,GhostBuckingham,0.04315715163281369,0.04431089743589744,0.03076923076923077
63,1Lord,0.05051485227218203,0.0,0.03076923076923077
64,2Lord,0.05051485227218203,0.0,0.03076923076923077
65,7Messenger,0.042630273235291595,0.0,0.015384615384615385
